plot.no,date,plot.id,sapling.id,all.whorls,leader,whorl.leader,false.whorls,survey.year,est.year,est.f.year,DBH,disturbance
66,7/3/2016,CEC0703U1,se5,7,1,8,,2016,2008,2008,0.5,beetle.only
66,7/3/2016,CEC0703U1,se6,5,1,6,,2016,2010,2010,0.5,beetle.only
66,7/3/2016,CEC0703U1,se7,8,1,9,,2016,2007,2007,1,beetle.only
66,7/3/2016,CEC0703U1,se8,6,1,7,,2016,2009,2009,0.5,beetle.only
66,7/3/2016,CEC0703U1,se9,1,1,2,,2016,2014,2014,0.5,beetle.only
67,7/8/2016,CEC0708U1,nw1,3,1,4,,2016,2012,2012,0.5,beetle.only
67,7/8/2016,CEC0708U1,nw2,6,1,7,,2016,2009,2009,1,beetle.only
67,7/8/2016,CEC0708U1,sw1,13,1,14,,2016,2002,2002,1,beetle.only
67,7/8/2016,CEC0708U1,ne1,5,1,6,,2016,2010,2010,0.5,beetle.only
67,7/8/2016,CEC0708U1,ne2,26,1,27,,2016,1989,1989,3.5,beetle.only
67,7/8/2016,CEC0708U1,ne3,15,1,16,,2016,2000,2000,1.5,beetle.only
67,7/8/2016,CEC0708U1,ne4,16,1,17,,2016,1999,1999,1.5,beetle.only
67,7/8/2016,CEC0708U1,ne5,18,1,19,,2016,1997,1997,2.5,beetle.only
67,7/8/2016,CEC0708U1,ne6,33,1,34,,2016,1982,1982,5,beetle.only
67,7/8/2016,CEC0708U1,se1,21,1,22,,2016,1994,1994,3,beetle.only
67,7/8/2016,CEC0708U1,se2,28,1,29,,2016,1987,1987,5,beetle.only
67,7/8/2016,CEC0708U1,se3,12,1,13,,2016,2003,2003,1.5,beetle.only
67,7/8/2016,CEC0708U1,se4,4,1,5,,2016,2011,2011,1,beetle.only
67,7/8/2016,CEC0708U1,se5,5,1,6,,2016,2010,2010,1,beetle.only
68,7/8/2016,CEC0780U2,swa,13,1,14,,2016,2002,2002,1.5,beetle.only
68,7/8/2016,CEC0780U2,swb,30,1,31,,2016,1985,1985,4.5,beetle.only
68,7/8/2016,CEC0780U2,swc,25,1,26,,2016,1990,1990,3.5,beetle.only
68,7/8/2016,CEC0780U2,swd,21,1,22,,2016,1994,1994,2.5,beetle.only
68,7/8/2016,CEC0780U2,swe,17,1,18,,2016,1998,1998,1.5,beetle.only
68,7/8/2016,CEC0780U2,swf,11,1,12,,2016,2004,2004,1.5,beetle.only
68,7/8/2016,CEC0780U2,swg,17,1,18,,2016,1998,1998,1.5,beetle.only
68,7/8/2016,CEC0780U2,swh,13,1,14,,2016,2002,2002,2,beetle.only
68,7/8/2016,CEC0780U2,swi,24,1,25,,2016,1991,1991,2,beetle.only
68,7/8/2016,CEC0780U2,swj,27,1,28,,2016,1988,1988,3,beetle.only
68,7/8/2016,CEC0780U2,ne1,27,1,28,,2016,1988,1988,4.5,beetle.only
68,7/8/2016,CEC0780U2,ne2,14,1,15,,2016,2001,2001,2.5,beetle.only
68,7/8/2016,CEC0780U2,se1,13,1,14,,2016,2002,2002,1.5,beetle.only
68,7/8/2016,CEC0780U2,se2,29,1,30,,2016,1986,1986,5,beetle.only
68,7/8/2016,CEC0780U2,se3,30,1,31,,2016,1985,1985,3.5,beetle.only
68,7/8/2016,CEC0780U2,se4,16,1,17,,2016,1999,1999,4.5,beetle.only
68,7/8/2016,CEC0780U2,se5,10,1,11,,2016,2005,2005,2,beetle.only
68,7/8/2016,CEC0780U2,se6,19,1,20,,2016,1996,1996,3.5,beetle.only
68,7/8/2016,CEC0780U2,se7,23,1,24,,2016,1992,1992,2.5,beetle.only
68,7/8/2016,CEC0780U2,se8,20,1,21,,2016,1995,1995,3.5,beetle.only
68,7/8/2016,CEC0780U2,se9,15,1,16,,2016,2000,2000,2.5,beetle.only
68,7/8/2016,CEC0780U2,se10,15,1,16,,2016,2000,2000,1.5,beetle.only
68,7/8/2016,CEC0780U2,se11,12,1,13,,2016,2003,2003,1.5,beetle.only
68,7/8/2016,CEC0780U2,nw1,16,1,17,,2016,1999,1999,4.5,beetle.only
68,7/8/2016,CEC0780U2,nw2,25,1,26,,2016,1990,1990,4,beetle.only
68,7/8/2016,CEC0780U2,sw1,30,1,31,,2016,1985,1985,5,beetle.only
68,7/8/2016,CEC0780U2,sw2,13,1,14,,2016,2002,2002,1.5,beetle.only
68,7/8/2016,CEC0780U2,sw3,26,1,27,,2016,1989,1989,4,beetle.only
68,7/8/2016,CEC0780U2,sw4,19,1,20,,2016,1996,1996,2.5,beetle.only
68,7/8/2016,CEC0780U2,sw5,17,1,18,,2016,1998,1998,2,beetle.only
68,7/8/2016,CEC0780U2,sw6,22,1,23,,2016,1993,1993,3.5,beetle.only
68,7/8/2016,CEC0780U2,sw7,18,1,19,,2016,1997,1997,3.5,beetle.only
68,7/8/2016,CEC0780U2,sw8,14,1,15,,2016,2001,2001,1.5,beetle.only
68,7/8/2016,CEC0780U2,sw9,13,1,14,,2016,2002,2002,3,beetle.only
68,7/8/2016,CEC0780U2,sw10,16,1,17,,2016,1999,1999,2.5,beetle.only
68,7/8/2016,CEC0780U2,sw11,16,1,17,,2016,1999,1999,2,beetle.only
68,7/8/2016,CEC0780U2,sw12,5,1,6,,2016,2010,2010,0.5,beetle.only
69,7/8/2016,CEC0708U3,nw1,35,1,36,,2016,1980,1980,10,beetle.only
69,7/8/2016,CEC0708U3,nw2,28,1,29,,2016,1987,1987,5,beetle.only
69,7/8/2016,CEC0708U3,nw3,39,1,40,,2016,1976,1976,9,beetle.only
69,7/8/2016,CEC0708U3,nw4,26,1,27,,2016,1989,1989,5,beetle.only
69,7/8/2016,CEC0708U3,nw5,28,1,29,,2016,1987,1987,4,beetle.only
69,7/8/2016,CEC0708U3,sea,19,1,20,,2016,1996,1996,1,beetle.only
69,7/8/2016,CEC0708U3,seb,33,1,34,,2016,1982,1982,5,beetle.only
69,7/8/2016,CEC0708U3,ne1,46,1,47,,2016,1969,1969,8,beetle.only
69,7/8/2016,CEC0708U3,ne2,8,1,9,,2016,2007,2007,1,beetle.only
69,7/8/2016,CEC0708U3,ne3,4,1,5,,2016,2011,2011,0.5,beetle.only
69,7/8/2016,CEC0708U3,ne4,46,1,47,,2016,1969,1969,8.5,beetle.only
69,7/8/2016,CEC0708U3,ne5,33,1,34,,2016,1982,1982,3,beetle.only
69,7/8/2016,CEC0708U3,ne6,33,1,34,,2016,1982,1982,6,beetle.only
69,7/8/2016,CEC0708U3,ne7,21,1,22,,2016,1994,1994,2.5,beetle.only
69,7/8/2016,CEC0708U3,ne8,32,1,33,,2016,1983,1983,4.5,beetle.only
69,7/8/2016,CEC0708U3,ne9,16,1,17,,2016,1999,1999,2.5,beetle.only
69,7/8/2016,CEC0708U3,ne10,5,1,6,,2016,2010,2010,1,beetle.only
69,7/8/2016,CEC0708U3,ne11,44,1,45,,2016,1971,1971,8,beetle.only
69,7/8/2016,CEC0708U3,se1,34,1,35,,2016,1981,1981,4,beetle.only
69,7/8/2016,CEC0708U3,se2,28,1,29,,2016,1987,1987,4.5,beetle.only
69,7/8/2016,CEC0708U3,se3,18,1,19,,2016,1997,1997,4.5,beetle.only
69,7/8/2016,CEC0708U3,se4,48,1,49,,2016,1967,1967,6.5,beetle.only
70,7/11/2016,EF0711U1,nw1,16,1,17,,2016,1999,1999,4,beetle.only
70,7/11/2016,EF0711U1,nw2,23,1,24,,2016,1992,1992,6,beetle.only
70,7/11/2016,EF0711U1,nw3,27,1,28,,2016,1988,1988,4.5,beetle.only
70,7/11/2016,EF0711U1,nw4,23,1,24,,2016,1992,1992,3.5,beetle.only
70,7/11/2016,EF0711U1,nw5,12,1,13,,2016,2003,2003,1.5,beetle.only
70,7/11/2016,EF0711U1,sw1,27,1,28,,2016,1988,1988,4.5,beetle.only
70,7/11/2016,EF0711U1,sw2,21,1,22,,2016,1994,1994,4,beetle.only
70,7/11/2016,EF0711U1,sw3,18,1,19,,2016,1997,1997,2,beetle.only
70,7/11/2016,EF0711U1,ne1,15,1,16,,2016,2000,2000,4.5,beetle.only
70,7/11/2016,EF0711U1,ne2,9,1,10,,2016,2006,2006,3,beetle.only
70,7/11/2016,EF0711U1,ne3,15,1,16,,2016,2000,2000,4.5,beetle.only
70,7/11/2016,EF0711U1,ne4,13,1,14,,2016,2002,2002,2.5,beetle.only
70,7/11/2016,EF0711U1,ne5,14,1,15,,2016,2001,2001,2.5,beetle.only
70,7/11/2016,EF0711U1,ne6,14,1,15,,2016,2001,2001,3.5,beetle.only
70,7/11/2016,EF0711U1,ne7,17,1,18,,2016,1998,1998,4.5,beetle.only
70,7/11/2016,EF0711U1,ne8,16,1,17,,2016,1999,1999,3.5,beetle.only
70,7/11/2016,EF0711U1,se1,24,1,25,,2016,1991,1991,5.5,beetle.only
70,7/11/2016,EF0711U1,se2,17,1,18,,2016,1998,1998,3,beetle.only
70,7/11/2016,EF0711U1,se3,17,1,18,,2016,1998,1998,3.5,beetle.only
70,7/11/2016,EF0711U1,se4,12,1,13,,2016,2003,2003,1.5,beetle.only
70,7/11/2016,EF0711U1,se5,11,1,12,,2016,2004,2004,3,beetle.only
71,7/11/2016,EF0711U2,sw1,4,1,5,,2016,2011,2011,0.5,beetle.only
71,7/11/2016,EF0711U2,sw2,4,1,5,,2016,2011,2011,0.5,beetle.only
71,7/11/2016,EF0711U2,se1,12,1,13,,2016,2003,2003,2,beetle.only
72,7/28/2016,BA0728U1,sw1,11,1,12,6,2016,2004,1998,0.5,beetle.only
72,7/28/2016,BA0728U1,sw2,3,1,4,3,2016,2012,2009,0.5,beetle.only
72,7/28/2016,BA0728U1,sw3,1,1,2,1,2016,2014,2013,0.5,beetle.only
72,7/28/2016,BA0728U1,sw4,0,1,1,0,2016,2015,2015,0.5,beetle.only
72,7/28/2016,BA0728U1,sw5,1,1,2,0,2016,2014,2014,0.5,beetle.only
72,7/28/2016,BA0728U1,sw6,0,1,1,0,2016,2015,2015,0.5,beetle.only
73,7/29/2016,BA0729U1,sw1,12,1,13,0,2016,2003,2003,1.5,beetle.only
73,7/29/2016,BA0729U1,sw2,7,1,8,1,2016,2008,2007,0.5,beetle.only
73,7/29/2016,BA0729U1,sw3,0,1,1,0,2016,2015,2015,0.5,beetle.only
73,7/29/2016,BA0729U1,sw4,1,1,2,0,2016,2014,2014,0.5,beetle.only
73,7/29/2016,BA0729U1,sw5,1,1,2,0,2016,2014,2014,0.5,beetle.only
73,7/29/2016,BA0729U1,sw6,0,1,1,0,2016,2015,2015,0.5,beetle.only
73,7/29/2016,BA0729U1,sw7,3,1,4,1,2016,2012,2011,0.5,beetle.only
73,7/29/2016,BA0729U1,nw1,12,1,13,3,2016,2003,2000,1,beetle.only
73,7/29/2016,BA0729U1,nw2,11,1,12,4,2016,2004,2000,1,beetle.only
73,7/29/2016,BA0729U1,nw3,8,1,9,0,2016,2007,2007,1,beetle.only
73,7/29/2016,BA0729U1,nw4,12,1,13,4,2016,2003,1999,0.5,beetle.only
73,7/29/2016,BA0729U1,nw5,6,1,7,0,2016,2009,2009,0.5,beetle.only
73,7/29/2016,BA0729U1,nw6,6,1,7,1,2016,2009,2008,0.5,beetle.only
73,7/29/2016,BA0729U1,nw7,9,1,10,0,2016,2006,2006,1,beetle.only
73,7/29/2016,BA0729U1,nw8,16,1,17,0,2016,1999,1999,1.5,beetle.only
73,7/29/2016,BA0729U1,nw9,12,1,13,0,2016,2003,2003,1,beetle.only
73,7/29/2016,BA0729U1,nw10,15,1,16,2,2016,2000,1998,1.5,beetle.only
73,7/29/2016,BA0729U1,nw11,8,1,9,2,2016,2007,2005,0.5,beetle.only
73,7/29/2016,BA0729U1,nw12,7,1,8,1,2016,2008,2007,1,beetle.only
73,7/29/2016,BA0729U1,nw13,11,1,12,1,2016,2004,2003,1,beetle.only
73,7/29/2016,BA0729U1,nw14,15,1,16,0,2016,2000,2000,1.5,beetle.only
73,7/29/2016,BA0729U1,nw15,9,1,10,0,2016,2006,2006,1,beetle.only
73,7/29/2016,BA0729U1,nw16,2,1,3,0,2016,2013,2013,0.5,beetle.only
73,7/29/2016,BA0729U1,nw17,13,1,14,0,2016,2002,2002,1.5,beetle.only
73,7/29/2016,BA0729U1,nw18,11,1,12,0,2016,2004,2004,2,beetle.only
73,7/29/2016,BA0729U1,ne1,8,1,9,1,2016,2007,2006,1.5,beetle.only
73,7/29/2016,BA0729U1,ne2,13,1,14,5,2016,2002,1997,1,beetle.only
73,7/29/2016,BA0729U1,ne3,4,1,5,0,2016,2011,2011,0.5,beetle.only
73,7/29/2016,BA0729U1,ne4,7,1,8,2,2016,2008,2006,0.5,beetle.only
73,7/29/2016,BA0729U1,ne5,11,1,12,3,2016,2004,2001,1.5,beetle.only
73,7/29/2016,BA0729U1,ne6,6,1,7,1,2016,2009,2008,1,beetle.only
73,7/29/2016,BA0729U1,ne7,8,1,9,1,2016,2007,2006,1,beetle.only
73,7/29/2016,BA0729U1,ne8,5,1,6,1,2016,2010,2009,0.5,beetle.only
73,7/29/2016,BA0729U1,ne9,2,1,3,0,2016,2013,2013,0.5,beetle.only
73,7/29/2016,BA0729U1,ne10,6,1,7,1,2016,2009,2008,1,beetle.only
73,7/29/2016,BA0729U1,ne11,2,1,3,0,2016,2013,2013,0.5,beetle.only
73,7/29/2016,BA0729U1,se1,9,1,10,0,2016,2006,2006,1.5,beetle.only
73,7/29/2016,BA0729U1,se2,7,1,8,0,2016,2008,2008,1.5,beetle.only
73,7/29/2016,BA0729U1,se3,6,1,7,0,2016,2009,2009,1.5,beetle.only
73,7/29/2016,BA0729U1,se4,10,1,11,2,2016,2005,2003,1.5,beetle.only
73,7/29/2016,BA0729U1,se5,5,1,6,0,2016,2010,2010,1.5,beetle.only
73,7/29/2016,BA0729U1,se6,10,1,11,2,2016,2005,2003,0.5,beetle.only
74,7/29/2016,BA0729U2,nw1,11,1,12,0,2016,2004,2004,0.5,beetle.only
74,7/29/2016,BA0729U2,nw2,6,1,7,0,2016,2009,2009,0.5,beetle.only
74,7/29/2016,BA0729U2,nw3,9,1,10,3,2016,2006,2003,0.5,beetle.only
74,7/29/2016,BA0729U2,nw4,10,1,11,0,2016,2005,2005,0.5,beetle.only
74,7/29/2016,BA0729U2,nw5,9,1,10,0,2016,2006,2006,0.5,beetle.only
74,7/29/2016,BA0729U2,nw6,11,1,12,2,2016,2004,2002,0.5,beetle.only
74,7/29/2016,BA0729U2,nw7,6,1,7,0,2016,2009,2009,0.5,beetle.only
74,7/29/2016,BA0729U2,nw8,10,1,11,3,2016,2005,2002,0.5,beetle.only
74,7/29/2016,BA0729U2,nw9,3,1,4,0,2016,2012,2012,0.5,beetle.only
74,7/29/2016,BA0729U2,nw10,0,1,1,0,2016,2015,2015,0.5,beetle.only
74,7/29/2016,BA0729U2,nw11,7,1,8,0,2016,2008,2008,0.5,beetle.only
74,7/29/2016,BA0729U2,nw12,10,1,11,0,2016,2005,2005,0.5,beetle.only
74,7/29/2016,BA0729U2,nw13,1,1,2,0,2016,2014,2014,0.5,beetle.only
74,7/29/2016,BA0729U2,nw14,0,1,1,0,2016,2015,2015,0.5,beetle.only
74,7/29/2016,BA0729U2,nw15,11,1,12,0,2016,2004,2004,0.5,beetle.only
74,7/29/2016,BA0729U2,nw16,15,1,16,1,2016,2000,1999,1.5,beetle.only
74,7/29/2016,BA0729U2,nw17,20,1,21,1,2016,1995,1994,1,beetle.only
74,7/29/2016,BA0729U2,nw18,8,1,9,0,2016,2007,2007,0.5,beetle.only
74,7/29/2016,BA0729U2,nw19,21,1,22,0,2016,1994,1994,2,beetle.only
74,7/29/2016,BA0729U2,nw20,11,1,12,0,2016,2004,2004,0.5,beetle.only
74,7/29/2016,BA0729U2,nw21,4,1,5,0,2016,2011,2011,0.5,beetle.only
74,7/29/2016,BA0729U2,nw22,8,1,9,0,2016,2007,2007,0.5,beetle.only
74,7/29/2016,BA0729U2,nw23,8,1,9,0,2016,2007,2007,0.5,beetle.only
74,7/29/2016,BA0729U2,sw1,11,1,12,0,2016,2004,2004,0.5,beetle.only
74,7/29/2016,BA0729U2,sw2,10,1,11,0,2016,2005,2005,0.5,beetle.only
74,7/29/2016,BA0729U2,sw3,13,1,14,0,2016,2002,2002,0.5,beetle.only
74,7/29/2016,BA0729U2,sw4,9,1,10,0,2016,2006,2006,0.5,beetle.only
74,7/29/2016,BA0729U2,sw5,5,1,6,0,2016,2010,2010,0.5,beetle.only
74,7/29/2016,BA0729U2,sw6,15,1,16,0,2016,2000,2000,1.5,beetle.only
74,7/29/2016,BA0729U2,sw7,14,1,15,0,2016,2001,2001,1.5,beetle.only
74,7/29/2016,BA0729U2,sw8,8,1,9,0,2016,2007,2007,0.5,beetle.only
74,7/29/2016,BA0729U2,sw9,6,1,7,0,2016,2009,2009,0.5,beetle.only
74,7/29/2016,BA0729U2,sw10,12,1,13,0,2016,2003,2003,1.5,beetle.only
74,7/29/2016,BA0729U2,sw11,13,1,14,0,2016,2002,2002,1.5,beetle.only
74,7/29/2016,BA0729U2,sw12,8,1,9,0,2016,2007,2007,1,beetle.only
74,7/29/2016,BA0729U2,sw13,10,1,11,0,2016,2005,2005,1,beetle.only
74,7/29/2016,BA0729U2,sw14,16,1,17,0,2016,1999,1999,1.5,beetle.only
74,7/29/2016,BA0729U2,sw15,7,1,8,0,2016,2008,2008,1,beetle.only
74,7/29/2016,BA0729U2,sw16,4,1,5,0,2016,2011,2011,0.5,beetle.only
74,7/29/2016,BA0729U2,sw17,8,1,9,0,2016,2007,2007,1,beetle.only
74,7/29/2016,BA0729U2,sw18,9,1,10,0,2016,2006,2006,1.5,beetle.only
74,7/29/2016,BA0729U2,sw19,13,1,14,0,2016,2002,2002,1,beetle.only
74,7/29/2016,BA0729U2,sw20,4,1,5,0,2016,2011,2011,0.5,beetle.only
74,7/29/2016,BA0729U2,sw21,13,1,14,0,2016,2002,2002,1.5,beetle.only
74,7/29/2016,BA0729U2,sw22,12,1,13,0,2016,2003,2003,1.5,beetle.only
74,7/29/2016,BA0729U2,sw23,17,1,18,0,2016,1998,1998,1.5,beetle.only
74,7/29/2016,BA0729U2,ne1,11,1,12,2,2016,2004,2002,1,beetle.only
74,7/29/2016,BA0729U2,ne2,11,1,12,1,2016,2004,2003,1.5,beetle.only
74,7/29/2016,BA0729U2,ne3,5,1,6,0,2016,2010,2010,1,beetle.only
74,7/29/2016,BA0729U2,ne4,14,1,15,1,2016,2001,2000,2.5,beetle.only
74,7/29/2016,BA0729U2,ne5,11,1,12,0,2016,2004,2004,1.5,beetle.only
74,7/29/2016,BA0729U2,ne6,19,1,20,0,2016,1996,1996,2.5,beetle.only
74,7/29/2016,BA0729U2,ne7,7,1,8,0,2016,2008,2008,0.5,beetle.only
74,7/29/2016,BA0729U2,ne8,13,1,14,2,2016,2002,2000,1.5,beetle.only
74,7/29/2016,BA0729U2,ne9,10,1,11,0,2016,2005,2005,1,beetle.only
74,7/29/2016,BA0729U2,ne10,10,1,11,0,2016,2005,2005,1,beetle.only
74,7/29/2016,BA0729U2,ne11,7,1,8,1,2016,2008,2007,1,beetle.only
74,7/29/2016,BA0729U2,ne12,5,1,6,0,2016,2010,2010,1,beetle.only
74,7/29/2016,BA0729U2,ne13,8,1,9,1,2016,2007,2006,2,beetle.only
74,7/29/2016,BA0729U2,ne14,3,1,4,0,2016,2012,2012,0.5,beetle.only
74,7/29/2016,BA0729U2,ne15,6,1,7,0,2016,2009,2009,1,beetle.only
74,7/29/2016,BA0729U2,ne16,7,1,8,0,2016,2008,2008,1,beetle.only
74,7/29/2016,BA0729U2,se1,10,1,11,2,2016,2005,2003,1.5,beetle.only
74,7/29/2016,BA0729U2,se2,9,1,10,0,2016,2006,2006,1,beetle.only
74,7/29/2016,BA0729U2,se3,8,1,9,4,2016,2007,2003,1,beetle.only
74,7/29/2016,BA0729U2,se4,12,1,13,2,2016,2003,2001,1.5,beetle.only
74,7/29/2016,BA0729U2,se5,11,1,12,0,2016,2004,2004,1.5,beetle.only
74,7/29/2016,BA0729U2,se6,2,1,3,0,2016,2013,2013,1,beetle.only
74,7/29/2016,BA0729U2,se7,12,1,13,0,2016,2003,2003,2,beetle.only
75,7/31/2016,BA0731U1,sw1,10,1,11,0,2016,2005,2005,2,beetle.only
75,7/31/2016,BA0731U1,sw2,3,1,4,0,2016,2012,2012,0.5,beetle.only
75,7/31/2016,BA0731U1,sw3,10,1,11,0,2016,2005,2005,3.5,beetle.only
75,7/31/2016,BA0731U1,sw4,8,1,9,0,2016,2007,2007,2,beetle.only
75,7/31/2016,BA0731U1,sw5,8,1,9,0,2016,2007,2007,1.5,beetle.only
75,7/31/2016,BA0731U1,sw6,11,1,12,0,2016,2004,2004,3.5,beetle.only
75,7/31/2016,BA0731U1,sw7,8,1,9,0,2016,2007,2007,1,beetle.only
75,7/31/2016,BA0731U1,sw8,8,1,9,2,2016,2007,2005,1,beetle.only
75,7/31/2016,BA0731U1,sw9,14,1,15,0,2016,2001,2001,2,beetle.only
75,7/31/2016,BA0731U1,sw10,9,1,10,0,2016,2006,2006,1,beetle.only
75,7/31/2016,BA0731U1,nw1,9,1,10,0,2016,2006,2006,1.5,beetle.only
75,7/31/2016,BA0731U1,nw2,10,1,11,0,2016,2005,2005,1.5,beetle.only
75,7/31/2016,BA0731U1,nw3,14,1,15,1,2016,2001,2000,1.5,beetle.only
75,7/31/2016,BA0731U1,nw4,19,1,20,0,2016,1996,1996,4,beetle.only
75,7/31/2016,BA0731U1,nw5,18,1,19,1,2016,1997,1996,3,beetle.only
75,7/31/2016,BA0731U1,nw6,21,1,22,2,2016,1994,1992,3.5,beetle.only
75,7/31/2016,BA0731U1,nw7,18,1,19,2,2016,1997,1995,3,beetle.only
75,7/31/2016,BA0731U1,nw8,4,1,5,0,2016,2011,2011,0.5,beetle.only
75,7/31/2016,BA0731U1,nw9,13,1,14,1,2016,2002,2001,1.5,beetle.only
75,7/31/2016,BA0731U1,nw10,9,1,10,0,2016,2006,2006,1,beetle.only
75,7/31/2016,BA0731U1,ne1,11,1,12,0,2016,2004,2004,2.5,beetle.only
75,7/31/2016,BA0731U1,ne2,11,1,12,0,2016,2004,2004,2,beetle.only
75,7/31/2016,BA0731U1,ne3,12,1,13,0,2016,2003,2003,2,beetle.only
75,7/31/2016,BA0731U1,ne4,17,1,18,2,2016,1998,1996,3.5,beetle.only
75,7/31/2016,BA0731U1,ne5,13,1,14,1,2016,2002,2001,2,beetle.only
75,7/31/2016,BA0731U1,ne6,10,1,11,0,2016,2005,2005,1.5,beetle.only
75,7/31/2016,BA0731U1,ne7,14,1,15,0,2016,2001,2001,1.5,beetle.only
75,7/31/2016,BA0731U1,ne8,12,1,13,0,2016,2003,2003,2,beetle.only
75,7/31/2016,BA0731U1,ne9,12,1,13,0,2016,2003,2003,1.5,beetle.only
75,7/31/2016,BA0731U1,se1,13,1,14,0,2016,2002,2002,2,beetle.only
